SurfaceIndex,Method,ExecutionTime,numberPoints
168,Compute Shader Z-Buffer,0.0006586,435172
168,Z-Buffer,0.0438673,435172
168,Direct Method,30.7,435172
169,Compute Shader Z-Buffer,0.0006423,435172
169,Z-Buffer,0.0462033,435172
169,Direct Method,30.8642,435172
170,Compute Shader Z-Buffer,0.0007358,435172
170,Z-Buffer,0.0432971,435172
170,Direct Method,31.2628,435172
171,Compute Shader Z-Buffer,0.0004103,435172
171,Z-Buffer,0.0458799,435172
171,Direct Method,32.81,435172
172,Compute Shader Z-Buffer,0.0004747,435172
172,Z-Buffer,0.0442977,435172
172,Direct Method,31.8518,435172
173,Compute Shader Z-Buffer,0.0006272,435172
173,Z-Buffer,0.049596,435172
173,Direct Method,28.365,435172
174,Compute Shader Z-Buffer,0.000495,435172
174,Z-Buffer,0.0450406,435172
174,Direct Method,27.732,435172
175,Compute Shader Z-Buffer,0.0006138,435172
175,Z-Buffer,0.0448084,435172
175,Direct Method,29.6928,435172
176,Compute Shader Z-Buffer,0.000449,435172
176,Z-Buffer,0.0447209,435172
176,Direct Method,29.2368,435172
177,Compute Shader Z-Buffer,0.0006828,435172
177,Z-Buffer,0.0459089,435172
177,Direct Method,32.7133,435172
178,Compute Shader Z-Buffer,0.0006152,435172
178,Z-Buffer,0.0429926,435172
178,Direct Method,29.0705,435172
179,Compute Shader Z-Buffer,0.0006893,435172
179,Z-Buffer,0.0626322,435172
179,Direct Method,33.716,435172
180,Compute Shader Z-Buffer,0.0007002,435172
180,Z-Buffer,0.0470929,435172
180,Direct Method,26.5552,435172
181,Compute Shader Z-Buffer,0.0005719,435172
181,Z-Buffer,0.0461545,435172
181,Direct Method,26.8479,435172
182,Compute Shader Z-Buffer,0.000639,435172
182,Z-Buffer,0.046291,435172
182,Direct Method,27.8602,435172
183,Compute Shader Z-Buffer,0.0005025,435172
183,Z-Buffer,0.0487519,435172
183,Direct Method,27.289,435172
184,Compute Shader Z-Buffer,0.0004483,435172
184,Z-Buffer,0.0545401,435172
184,Direct Method,30.0444,435172
185,Compute Shader Z-Buffer,0.0004833,435172
185,Z-Buffer,0.0449683,435172
185,Direct Method,33.8033,435172
